2,36,3,18,15,133,26,3,34,21,44,26,19,112,10,4,29,35,19,2,34,1
112,1,34,20,1,3,5,1,1,3,7,9,16,2,34,2,32,8,16,3,1,44
3,1,16,3,1,2,5,2,1,34,5,2,21,15,20,1,3,10,27,4,8,3
34,15,23,112,1,34,10,4,27,4,13,8,2,34,1,1,18,15,20,34,2,3
31,2,16,1,1,1,3,2,3,1,47,31,2,3,1,1,34,3,1,1,1,34
31,1,34,3,1,2,1,34,1,1,21,26,19,1,1,3,1,1,2,1,3,1
31,1,1,18,15,34,15,20,1,1,28,31,16,3,1,28,29,1,34,1,1,1
34,3,2,16,1,1,1,3,1,34,32,31,27,29,29,29,28,3,16,1,1,3
3,1,1,16,3,28,30,30,30,27,32,31,34,1,3,1,1,1,16,2,3,34
1,1,1,34,1,30,28,1,3,16,32,28,1,1,18,15,34,15,20,1,1,32
1,3,1,2,1,1,3,1,1,21,26,19,1,1,34,1,2,1,3,34,1,32
34,1,1,1,3,34,1,1,3,2,32,42,1,3,2,3,1,1,1,16,2,32
3,2,34,18,15,20,1,1,34,2,10,11,4,27,4,8,34,1,112,25,15,34
3,10,4,27,8,3,1,18,15,19,2,5,34,1,2,5,2,1,3,16,1,3
39,1,3,16,10,31,2,34,2,16,7,9,3,1,1,5,3,1,18,34,1,112
1,34,2,21,35,30,4,8,112,21,26,39,19,34,3,26,133,15,20,3,36,2
